Instruction,Summary,Description,Syntax,Operation
SET_SWZSEL_SUBREG_SEL,Set swizzle select sub-register select,Set the specified 64-bit swz_subreg register. The swz_subreg is chosen by the 4-bit swzsel field. ,"SET_SWZSEL_SUBREG_SEL Rt, Rt2",This instruction sets the specified 64-bit swz_subreg with the 64-bit value provided on the Rt and Rt2 registers. The 64-bit value is provided on the coprocessor write data bus.
SET_PLE_LANE_SEL,Set the PLE lane select register,Set the PLE lane select register used to direct coprocessor instrucions on specific PLE lanes,SET_PLE_LANE_SEL Rt,This instruction sets the PLE lane select register with the value Rt[1:0] provided on the coprocessor write data bus.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
